backend,dtype,model,device,mode,last_ok_natoms,last_ok_peak_vram_mib,first_oom_natoms
cueq,float32,large,cuda,force_call,11520,5673,23040
cueq,float32,large,cuda,md,11520,5673,23040
cueq,float32,medium,cuda,force_call,11520,5425,23040
cueq,float32,medium,cuda,md,11520,5484,23040
cueq,float32,medium-omat-0,cuda,force_call,11520,7728,23040
cueq,float32,medium-omat-0,cuda,md,11520,7792,23040
cueq,float32,small,cuda,force_call,23040,6143,
cueq,float32,small,cuda,md,23040,6214,
e3nn,float32,large,cuda,force_call,2944,9291,5760
e3nn,float32,large,cuda,md,2944,9291,5760
e3nn,float32,medium,cuda,force_call,2944,7479,5760
e3nn,float32,medium,cuda,md,2944,7545,5760
e3nn,float32,medium-omat-0,cpu,md,1408,,
e3nn,float32,medium-omat-0,cuda,force_call,2944,8080,5760
e3nn,float32,medium-omat-0,cuda,md,2944,8150,5760
e3nn,float32,small,cuda,force_call,5760,5396,11520
e3nn,float32,small,cuda,md,5760,5418,11520
e3nn,float64,medium-omat-0,cuda,force_call,1408,7771,2944
e3nn,float64,medium-omat-0,cuda,md,1408,7835,2944
